,date,state_name,state_code,age_group,sex,death_count,country
0,2020-03-01,Western Australia,WA,"(70, 79)",Male,1,Australia
1,2020-03-04,New South Wales,NSW,"(90, 99)",Female,1,Australia
2,2020-03-08,New South Wales,NSW,"(80, 89)",Male,1,Australia
3,2020-03-13,Queensland,QLD,"(70, 79)",Female,1,Australia
4,2020-03-15,New South Wales,NSW,"(70, 79)",Female,1,Australia
5,2020-03-15,New South Wales,NSW,"(90, 99)",Female,1,Australia
6,2020-03-18,New South Wales,NSW,"(80, 89)",Male,1,Australia
7,2020-03-20,New South Wales,NSW,"(80, 89)",Female,1,Australia
8,2020-03-24,New South Wales,NSW,"(70, 79)",Female,1,Australia
9,2020-03-25,Queensland,QLD,"(60, 69)",Male,1,Australia
10,2020-03-26,Victoria,VIC,"(70, 79)",Male,3,Australia
11,2020-03-26,Western Australia,WA,"(70, 79)",Male,1,Australia
12,2020-03-28,New South Wales,NSW,"(90, 99)",Female,1,Australia
13,2020-03-29,Queensland,QLD,"(70, 79)",Female,1,Australia
14,2020-03-29,Victoria,VIC,"(80, 89)",Male,1,Australia
15,2020-03-30,Australian Capital Territory,ACT,"(80, 89)",Female,1,Australia
16,2020-03-30,Tasmania,TAS,"(80, 89)",Female,1,Australia
17,2020-03-31,Tasmania,TAS,"(80, 89)",Male,1,Australia
18,2020-04-01,New South Wales,NSW,"(90, 99)",Female,1,Australia
19,2020-04-02,New South Wales,NSW,"(60, 69)",Female,1,Australia
20,2020-04-02,Queensland,QLD,"(80, 89)",Male,1,Australia
21,2020-04-02,Victoria,VIC,"(60, 69)",Female,1,Australia
22,2020-04-02,Victoria,VIC,"(70, 79)",Female,1,Australia
23,2020-04-03,New South Wales,NSW,"(70, 79)",Female,1,Australia
24,2020-04-03,New South Wales,NSW,"(70, 79)",Male,1,Australia
25,2020-04-03,Victoria,VIC,"(80, 89)",Male,1,Australia
26,2020-04-03,Western Australia,WA,"(60, 69)",Male,1,Australia
27,2020-04-04,Australian Capital Territory,ACT,"(80, 89)",Male,1,Australia
28,2020-04-04,Victoria,VIC,"(70, 79)",Female,1,Australia
29,2020-04-05,New South Wales,NSW,"(60, 69)",Male,1,Australia
30,2020-04-05,New South Wales,NSW,"(70, 79)",Male,1,Australia
31,2020-04-05,New South Wales,NSW,"(80, 89)",Male,1,Australia
32,2020-04-05,New South Wales,NSW,"(90, 99)",Male,1,Australia
33,2020-04-05,Queensland,QLD,"(70, 79)",Male,1,Australia
34,2020-04-06,New South Wales,NSW,"(80, 89)",Male,2,Australia
35,2020-04-06,Victoria,VIC,"(50, 59)",Male,1,Australia
36,2020-04-06,Victoria,VIC,"(80, 89)",Female,1,Australia
37,2020-04-06,Western Australia,WA,"(80, 89)",Male,1,Australia
38,2020-04-07,New South Wales,NSW,"(80, 89)",Female,1,Australia
39,2020-04-07,New South Wales,NSW,"(90, 99)",Male,2,Australia
40,2020-04-07,South Australia,SA,"(70, 79)",Male,1,Australia
41,2020-04-07,Tasmania,TAS,"(80, 89)",Male,1,Australia
